"","X","corr","aa","tcr"
"379",38,0.165624846945595,"PAM230","16A11"
"380",39,0.142823178015475,"PAM240","16A11"
"381",40,0.164664619210804,"PAM250","16A11"
"382",41,0.226206317805045,"PAM260","16A11"
"383",42,0.208483889857401,"PAM270","16A11"
"384",43,0.173557932365836,"PAM280","16A11"
"385",44,0.17309702096512,"PAM290","16A11"
"386",45,0.222177056076717,"PAM300","16A11"
"387",46,0.223261018647372,"PAM310","16A11"
"388",47,0.244594058008523,"PAM320","16A11"
"389",48,0.232843685606476,"PAM330","16A11"
"390",49,0.202539563139181,"PAM340","16A11"
"391",50,0.235736627962893,"PAM350","16A11"
"392",51,0.260922247065113,"PAM360","16A11"
"393",52,0.24290190273932,"PAM370","16A11"
"394",53,0.216655874242547,"PAM380","16A11"
"395",54,0.19434278313252,"PAM390","16A11"
"396",55,0.193824820861144,"PAM400","16A11"
"397",56,0.23514413539175,"PAM410","16A11"
"398",57,0.225516285194895,"PAM420","16A11"
"399",58,0.222396671977635,"PAM430","16A11"
"400",59,0.226254927291589,"PAM440","16A11"
"401",60,0.211183873487794,"PAM450","16A11"
"402",61,0.235284182180862,"PAM460","16A11"
"403",62,0.243821508841954,"PAM470","16A11"
"404",63,0.239414580925506,"PAM480","16A11"
"405",64,0.228313646932211,"PAM490","16A11"
"406",65,0.230364284487487,"PAM500","16A11"
"407",66,0.143033769508373,"DAYHOFF","16A11"
"408",67,0.231244978097642,"GONNET","16A11"
"409",0,0.628528523942276,"HAMMING","18A2"
"410",1,0.469512940254237,"BLOSUM62","18A2"
"411",2,0.456572006840647,"BLOSUM30","18A2"
"412",3,0.471883084586656,"BLOSUM35","18A2"
"413",4,0.48599223704026,"BLOSUM40","18A2"
"414",5,0.463249380860874,"BLOSUM45","18A2"
"415",6,0.460479257234119,"BLOSUM50","18A2"
"416",7,0.461865071735949,"BLOSUM55","18A2"
"417",8,0.474276877374653,"BLOSUM60","18A2"
"418",9,0.46626290290377,"BLOSUM65","18A2"
"419",10,0.482022932850215,"BLOSUM70","18A2"
"420",11,0.484531396177658,"BLOSUM75","18A2"
"421",12,0.47323169992295,"BLOSUM80","18A2"
"422",13,0.475605224387091,"BLOSUM85","18A2"
"423",14,0.492230218280959,"BLOSUM90","18A2"
"424",15,0.463062605244077,"BLOSUM100","18A2"
"425",16,0.396548256993557,"PAM10","18A2"
"426",17,0.402795571179533,"PAM20","18A2"
"427",18,0.407531046074677,"PAM30","18A2"
"428",19,0.391738612411863,"PAM40","18A2"
"429",20,0.395848581697372,"PAM50","18A2"
"430",21,0.40466942630559,"PAM60","18A2"
"431",22,0.390622195636927,"PAM70","18A2"
"432",23,0.383970024749526,"PAM80","18A2"
"433",24,0.388663533918493,"PAM90","18A2"
"434",25,0.38517909670965,"PAM100","18A2"
"435",26,0.368950752942873,"PAM110","18A2"
"436",27,0.372615216908088,"PAM120","18A2"
"437",28,0.372519720440921,"PAM130","18A2"
"438",29,0.366246636580401,"PAM140","18A2"
"439",30,0.393178603338139,"PAM150","18A2"
"440",31,0.378777471260387,"PAM160","18A2"
"441",32,0.383547340088296,"PAM170","18A2"
"442",33,0.365051603550997,"PAM180","18A2"
"443",34,0.379506231110295,"PAM190","18A2"
"444",35,0.368976134897837,"PAM200","18A2"
"445",36,0.32736335504303,"PAM210","18A2"
"446",37,0.329111160691135,"PAM220","18A2"
"447",38,0.344121398448765,"PAM230","18A2"
"448",39,0.373538929075135,"PAM240","18A2"
"449",40,0.367944917084656,"PAM250","18A2"
"450",41,0.315851989759893,"PAM260","18A2"
"451",42,0.307355689880033,"PAM270","18A2"
"452",43,0.319551537357798,"PAM280","18A2"
"453",44,0.338070911445175,"PAM290","18A2"
"454",45,0.299041822216349,"PAM300","18A2"
"455",46,0.280068272476468,"PAM310","18A2"
"456",47,0.292300114375267,"PAM320","18A2"
"457",48,0.266980616886419,"PAM330","18A2"
"458",49,0.279491963853891,"PAM340","18A2"
"459",50,0.280053936793277,"PAM350","18A2"
"460",51,0.227090035041218,"PAM360","18A2"
"461",52,0.226324983404397,"PAM370","18A2"
"462",53,0.259607950215551,"PAM380","18A2"
"463",54,0.200210813473427,"PAM390","18A2"
"464",55,0.223845832934911,"PAM400","18A2"
"465",56,0.219460332605478,"PAM410","18A2"
"466",57,0.18084256843934,"PAM420","18A2"
"467",58,0.175809488840415,"PAM430","18A2"
"468",59,0.173508395888563,"PAM440","18A2"
"469",60,0.182014459516755,"PAM450","18A2"
"470",61,0.209600010297688,"PAM460","18A2"
"471",62,0.161049554293902,"PAM470","18A2"
"472",63,0.181107034501403,"PAM480","18A2"
"473",64,0.178260243213504,"PAM490","18A2"
"474",65,0.176136437001006,"PAM500","18A2"
"475",66,0.37261713692964,"DAYHOFF","18A2"
"476",67,0.383479973450093,"GONNET","18A2"
"477",0,0.788756463741113,"HAMMING","47BE7"
"478",1,0.642135910712878,"BLOSUM62","47BE7"
