"","X","WS","NS","NW","aa_matrix","tcr","mean_auc"
"142",5,0.707333333333333,0.914088319088319,0.867514245014245,"BLOSUM45","13A10",0.829645299145299
"143",6,0.695666666666667,0.918561253561254,0.860292022792023,"BLOSUM50","13A10",0.824839981006648
"144",7,0.724,0.922977207977208,0.853803418803419,"BLOSUM55","13A10",0.833593542260209
"145",8,0.704,0.926880341880342,0.846602564102564,"BLOSUM60","13A10",0.825827635327635
"146",9,0.7095,0.918219373219373,0.853596866096866,"BLOSUM65","13A10",0.827105413105413
"147",10,0.746166666666667,0.931894586894587,0.857948717948718,"BLOSUM70","13A10",0.845336657169991
"148",11,0.762833333333333,0.936766381766382,0.855833333333333,"BLOSUM75","13A10",0.85181101614435
"149",12,0.742333333333333,0.93485754985755,0.850413105413105,"BLOSUM80","13A10",0.842534662867996
"150",13,0.749333333333333,0.940754985754986,0.865413105413105,"BLOSUM85","13A10",0.851833808167142
"151",14,0.747,0.942478632478633,0.859836182336182,"BLOSUM90","13A10",0.849771604938272
