"","tcr","auc","fpeptide","pooling"
"338","TCR6",0.7754499306939,0.5,"pTEAM"
"339","TCR7",0.718563250618018,0.5,"pTEAM"
"340","TCR81-14",0.73932736013986,0.5,"pTEAM"
"341","TIL1383I",0.741562617937618,0.5,"pTEAM"
"342","a3a",0.896188520327409,0.5,"pTEAM"
"343","18A2",0.814840756985055,0.7,"pTEAM"
"344","868Z11",0.729894316644787,0.7,"pTEAM"
"345","A11Va",0.792066528281287,0.7,"pTEAM"
"346","A23",0.693706159155872,0.7,"pTEAM"
"347","A6",0.68912588792669,0.7,"pTEAM"
"348","APN-TCR",0.73549274372679,0.7,"pTEAM"
"349","EWW-TCR",0.827944176614631,0.7,"pTEAM"
"350","FLT3DY",0.811630805207555,0.7,"pTEAM"
"351","NYE-S1",0.767779568521756,0.7,"pTEAM"
"352","R24",0.854665317193095,0.7,"pTEAM"
"353","T1",0.808730480776709,0.7,"pTEAM"
"354","TCR-1E6",0.757277084392277,0.7,"pTEAM"
"355","TCR2-T",0.780222104988409,0.7,"pTEAM"
"356","TCR6",0.785098566617755,0.7,"pTEAM"
"357","TCR7",0.725661412361088,0.7,"pTEAM"
"358","TCR81-14",0.754744432650683,0.7,"pTEAM"
"359","TIL1383I",0.772472397047397,0.7,"pTEAM"
"360","a3a",0.89136451973952,0.7,"pTEAM"
"361","18A2",0.826054048315232,0.9,"pTEAM"
"362","868Z11",0.722302749681744,0.9,"pTEAM"
"363","A11Va",0.806182621836301,0.9,"pTEAM"
"364","A23",0.692034247680799,0.9,"pTEAM"
"365","A6",0.698970756942849,0.9,"pTEAM"
"366","APN-TCR",0.739733997807545,0.9,"pTEAM"
"367","EWW-TCR",0.832713598831023,0.9,"pTEAM"
"368","FLT3DY",0.825941841903012,0.9,"pTEAM"
"369","NYE-S1",0.774342786842787,0.9,"pTEAM"
"370","R24",0.867456766741489,0.9,"pTEAM"
"371","T1",0.805558371672845,0.9,"pTEAM"
"372","TCR-1E6",0.783587165929539,0.9,"pTEAM"
"373","TCR2-T",0.791103254233689,0.9,"pTEAM"
"374","TCR6",0.795872015330349,0.9,"pTEAM"
"375","TCR7",0.728767017529065,0.9,"pTEAM"
"376","TCR81-14",0.769348512598513,0.9,"pTEAM"
"377","TIL1383I",0.775736553261553,0.9,"pTEAM"
"378","a3a",0.892146144236422,0.9,"pTEAM"
"379","a3a",0.890174727535839,1,"pTEAM"
"380","TIL1383I",0.786641395641396,1,"pTEAM"
"381","TCR81-14",0.76897036990787,1,"pTEAM"
"382","18A2",0.832026884340481,1,"pTEAM"
"383","NYE-S1",0.778306846509972,1,"pTEAM"
"384","TCR6",0.80219302931474,1,"pTEAM"
"385","TCR7",0.740399312593434,1,"pTEAM"
"386","A6",0.700389928884247,1,"pTEAM"
"387","T1",0.801161867315437,1,"pTEAM"
"388","FLT3DY",0.828220331814201,1,"pTEAM"
"389","A23",0.676030751921556,1,"pTEAM"
"390","TCR2-T",0.791451252853427,1,"pTEAM"
"391","R24",0.866908770242104,1,"pTEAM"
"392","868Z11",0.729266929725106,1,"pTEAM"
"393","TCR-1E6",0.78160936111558,1,"pTEAM"
"394","APN-TCR",0.739871011339213,1,"pTEAM"
"395","EWW-TCR",0.833306167737986,1,"pTEAM"
"396","A11Va",0.81311715711654,1,"pTEAM"
